ID,CASO,APLICACION,ORIGEN,CATEGORÍA,RESOLUCION,RESUMEN,ESTADO,ASIGNADOA,CASO AUTORIZADOR,ESCALADO INTERNAMENTE,FEC_CREACION,MODIFICADOPOR,FEC_MODIFICACION
"8574","00595576",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","11/05/2023 7:41 p. m.","VargasD Wilmer","11/05/2023 7:41 p. m."
"8573","00595567",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","11/05/2023 6:38 p. m.","VargasD Wilmer","11/05/2023 6:38 p. m."
"8408","00591826","Andes","SalesForce","Bonos - Reenvío Chequeras","Información Incompleta","1.Devuelto, falta numero de cedula
2.Reenvio de bonos","Solucionado","Castro AndresF",,"[]","5/05/2023 9:53 a. m.","Castro AndresF","11/05/2023 6:22 p. m."
"8545","00595058","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","11/05/2023 9:45 a. m.","Castro AndresF","11/05/2023 6:17 p. m."
"8551","00593842","Condor","SalesForce","Novedades Monetarias","Actualización BD","Novedad monetaria sin confirmacion","Escalado Autorizador","Castro AndresF","PIM-20034","[]","11/05/2023 11:30 a. m.","Castro AndresF","11/05/2023 6:05 p. m."
"8572","00595220","Condor","SalesForce","GNL - Cargas","Consulta Información","Validacion de saldo","Solucionado","Castro AndresF",,"[]","11/05/2023 5:52 p. m.","Castro AndresF","11/05/2023 5:52 p. m."
"8571","00593311","Sodexo Club","SalesForce","SdxClub - Error SdxConnect","Error Sistema","Error al ingresar.","Solucionado","Castro Steven",,"[]","11/05/2023 5:50 p. m.","Castro Steven","11/05/2023 5:50 p. m."
"8559","00595237","Servicio en Linea","SalesForce","GNL - Usuarios","Actualización BD","Asignacion de contraseña temporal","Solucionado","Castro AndresF",,"[]","11/05/2023 12:35 p. m.","Castro AndresF","11/05/2023 5:35 p. m."
"8570","00595524","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Cambio de correo y reenvio de bonos","Solucionado","Castro AndresF",,"[]","11/05/2023 4:55 p. m.","Castro AndresF","11/05/2023 5:16 p. m."
"8569","00595364",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","11/05/2023 4:54 p. m.","VargasD Wilmer","11/05/2023 4:54 p. m."
"8558","00595259","Conexo","SalesForce","GNL - Usuarios","Actualización BD","Validacion de correo","Solucionado","Castro AndresF",,"[]","11/05/2023 12:33 p. m.","Castro AndresF","11/05/2023 4:37 p. m."
"8565","00595387","Condor","SalesForce","GNL - Reportes","Consulta Información","Reporte consumo de bonos","Solucionado","Castro AndresF",,"[]","11/05/2023 2:50 p. m.","Castro AndresF","11/05/2023 4:26 p. m."
"8561","00595228","Servicio en Linea","SalesForce","GNL - Usuarios","Actualización BD","Asignación contraseña temporal","Solucionado","Castro AndresF",,"[]","11/05/2023 1:09 p. m.","Castro AndresF","11/05/2023 4:20 p. m."
"8568","00595485",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","11/05/2023 4:14 p. m.","VargasD Wilmer","11/05/2023 4:14 p. m."
"8566","00595453","Servicio en Linea","SalesForce","GNL - Usuarios","Actualización BD","Asignacion contraseña temporal","Solucionado","Castro AndresF",,"[]","11/05/2023 3:41 p. m.","Castro AndresF","11/05/2023 3:58 p. m."
"8567","00594098",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","11/05/2023 3:52 p. m.","VargasD Wilmer","11/05/2023 3:52 p. m."
"8562","00592295","Condor","SalesForce","Novedades Monetarias","Consulta Información","Novedad monetaria sin confirmacion","Escalado Autorizador","Castro AndresF","PIM-20023","[]","11/05/2023 1:11 p. m.","Castro AndresF","11/05/2023 3:50 p. m."
"8550","00595165","Sodexo Express","SalesForce","Error Pedido Procesado","Error Sistema","Carro sin detalleresumen","Devuelto","Castro Steven",,"[]","11/05/2023 11:17 a. m.","Castro Steven","11/05/2023 3:14 p. m."
